usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_97fe6c4d61,25,0,25,0.0
USER_20c4b3cabc,25,0,25,0.0
USER_d9253abb73,25,3,22,0.12
USER_88e881b29d,25,1,24,0.04
USER_b3cfc08ebc,25,0,25,0.0
USER_bb15aebb29,25,2,23,0.08
USER_29a166fa58,25,0,25,0.0
USER_05ae06c3cc,25,1,24,0.04
USER_862501cbc5,25,0,25,0.0
USER_9e6ce39504,25,1,24,0.04
USER_ed386044ec,25,3,22,0.12
USER_59e3de9c16,25,0,25,0.0
USER_45ce5bb8b7,25,0,25,0.0
USER_39473ba52d,25,0,25,0.0
USER_a9e762be35,25,0,25,0.0
USER_8326964cc9,25,0,25,0.0
USER_37c0e2816f,9,0,9,0.0
USER_967b20cc4f,25,0,25,0.0
USER_67d590205d,25,0,25,0.0
USER_cf8ff192d5,25,1,24,0.04
USER_6b50a4c28f,25,0,25,0.0
USER_c311b49d19,25,0,25,0.0
