usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_19f60a0419,25,0,25,0.0
USER_d59612a23e,25,0,25,0.0
USER_4d25eb0a9e,25,0,25,0.0
USER_eff372a396,25,0,25,0.0
USER_b4323b14c3,7,1,6,0.143
USER_6b546fca1d,25,0,25,0.0
USER_ed5725945b,25,0,25,0.0
USER_7ddb57d25c,25,0,25,0.0
USER_36fa31541c,25,0,25,0.0
USER_d043f7d905,25,0,25,0.0
USER_c78e61c9c2,25,1,24,0.04
USER_de6727837e,25,0,25,0.0
USER_44d213fa39,25,0,25,0.0
USER_369778edbe,25,0,25,0.0
USER_3f13391ab5,25,0,25,0.0
USER_20b1438748,25,0,25,0.0
USER_d6d15d0629,25,0,25,0.0
USER_33ef5d05e9,25,0,25,0.0
USER_d5d6e1c6e6,25,0,25,0.0
USER_95f04bcb4e,25,0,25,0.0
USER_f5db6ccd9a,25,0,25,0.0
USER_07e90d25ec,25,0,25,0.0
USER_bd883428ea,25,0,25,0.0
USER_bc5e2009e3,25,0,25,0.0
USER_e5af51e42c,25,0,25,0.0
USER_d3055e73fa,25,0,25,0.0
USER_86e9b3581b,25,1,24,0.04
USER_7877f96b35,25,0,25,0.0
USER_3e521450b4,25,2,23,0.08
USER_dc55bcb80a,25,0,25,0.0
USER_d8422c3b72,25,1,24,0.04
USER_7701d3c801,25,1,24,0.04
USER_2ae7cd2c47,25,0,25,0.0
USER_6b200edad2,25,0,25,0.0
USER_dc18f370a1,25,0,25,0.0
USER_e2be22f38b,25,0,25,0.0
USER_66a0750617,25,0,25,0.0
USER_541726e639,25,0,25,0.0
USER_89a3671065,25,0,25,0.0
USER_951334746e,25,0,25,0.0
USER_cca578e838,25,0,25,0.0
USER_eea003b98c,25,0,25,0.0
USER_91f71e87c5,25,0,25,0.0
USER_9e58c750b3,25,0,25,0.0
USER_4152c253f0,25,0,25,0.0
USER_c43423500d,25,0,25,0.0
USER_30c8bc8417,25,0,25,0.0
USER_421d215578,25,0,25,0.0
USER_bec1e3738f,25,0,25,0.0
USER_ee3292d655,25,0,25,0.0
USER_cb1da08fd0,25,1,24,0.04
USER_8381692f02,25,0,25,0.0
USER_58522a092b,25,0,25,0.0
USER_4ed2eed28d,25,0,25,0.0
USER_4f775f9910,25,0,25,0.0
USER_eba7cc5181,25,0,25,0.0
USER_880cf058ab,25,1,24,0.04
USER_deda059228,25,0,25,0.0
USER_e2aee3830c,25,0,25,0.0
USER_9d4217ac0c,25,0,25,0.0
USER_0fdeb833bc,25,0,25,0.0
USER_82953a4da8,25,0,25,0.0
USER_80bc3e4254,25,0,25,0.0
USER_d60ec1762e,25,0,25,0.0
USER_519977c876,25,0,25,0.0
USER_239a8a388c,25,0,25,0.0
USER_803283a1e3,25,3,22,0.12
USER_54bed8ae60,25,1,24,0.04
USER_a3b6027761,25,1,24,0.04
USER_b93e9435c6,25,0,25,0.0
USER_badc9b5e77,25,1,24,0.04
USER_27432f7d02,25,0,25,0.0
