usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_9b2677397b,25,0,25,0.0
USER_1a72efe38a,25,0,25,0.0
USER_75585b359c,25,1,24,0.04
USER_d2e7922a0e,25,0,25,0.0
USER_7a7fa778c7,25,0,25,0.0
USER_f4f1c51543,25,0,25,0.0
USER_ef12b7c08d,25,0,25,0.0
USER_b97d2cda96,25,0,25,0.0
USER_a88dc84526,25,3,22,0.12
USER_e4faa1e826,25,0,25,0.0
USER_154e254712,25,0,25,0.0
USER_27ab2c25f7,25,0,25,0.0
USER_60092a0157,25,0,25,0.0
USER_f852a20c42,25,0,25,0.0
USER_992ea76508,25,0,25,0.0
USER_66d512c013,25,2,23,0.08
USER_17eabb3e98,25,0,25,0.0
USER_8e8682779f,25,0,25,0.0
USER_125edc643d,25,2,23,0.08
USER_645f0b027a,25,0,25,0.0
USER_47493aedc5,25,0,25,0.0
USER_5d81c96667,25,0,25,0.0
USER_a1d8c456c6,25,1,24,0.04
USER_ea63e1eef3,25,2,23,0.08
USER_bbb3cd7fef,25,1,24,0.04
USER_c144bbb709,25,0,25,0.0
USER_209d03d8fe,25,3,22,0.12
USER_74a1123c35,25,0,25,0.0
USER_69e23c2bdb,25,0,25,0.0
USER_952f99854a,25,0,25,0.0
USER_4aa36c9b69,25,0,25,0.0
USER_700f6b8f58,25,0,25,0.0
USER_ab6a9e2ec9,25,0,25,0.0
USER_16c3646941,25,0,25,0.0
USER_922dd2d7cc,25,0,25,0.0
USER_413a974ef7,25,0,25,0.0
USER_2cc615b4ab,25,0,25,0.0
USER_bd6be5d64e,25,0,25,0.0
USER_ff96fb31b8,25,0,25,0.0
USER_4353e114e9,25,0,25,0.0
USER_8a9fc81381,25,0,25,0.0
USER_a1b6f08571,12,0,12,0.0
USER_2e448edc2f,25,0,25,0.0
USER_73e20ab322,25,0,25,0.0
USER_14dd3d13c1,25,0,25,0.0
USER_b0454ed191,25,0,25,0.0
USER_7796448046,25,2,23,0.08
USER_47fd10911a,25,0,25,0.0
