usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_bd8f257bb3,25,2,23,0.08
USER_372ff94496,25,0,25,0.0
USER_f2e48a2218,25,1,24,0.04
USER_bfa118985a,25,0,25,0.0
USER_2ba6596b42,25,0,25,0.0
USER_919c641c68,25,0,25,0.0
USER_a098eb7830,25,0,25,0.0
USER_2bc9f90348,25,0,25,0.0
USER_47255aaf57,25,0,25,0.0
USER_d8d8318504,25,0,25,0.0
USER_ff2e9518c5,25,0,25,0.0
USER_439a674f2e,25,0,25,0.0
USER_e72365e5e0,25,0,25,0.0
USER_06f1a9084e,25,1,24,0.04
USER_e414b584ed,25,0,25,0.0
USER_7a85831d28,25,0,25,0.0
USER_57a9184fe9,25,0,25,0.0
USER_9e577c3272,25,0,25,0.0
USER_168e6d3bb4,25,0,25,0.0
USER_0170e66a82,25,0,25,0.0
USER_6acae947df,25,0,25,0.0
USER_7745579112,25,0,25,0.0
USER_0d0fc2441a,25,0,25,0.0
USER_efa99af543,25,0,25,0.0
USER_50a012edbc,25,0,25,0.0
USER_fc1a4a7c3d,25,0,25,0.0
USER_a504fe3501,25,0,25,0.0
USER_53a79393f3,25,0,25,0.0
USER_357a33fa4c,25,0,25,0.0
USER_38025bdaa8,25,0,25,0.0
USER_9f0f3b035a,25,0,25,0.0
USER_5e5d5eda7c,25,0,25,0.0
USER_e42c9cba19,25,1,24,0.04
USER_b32dd594cc,25,0,25,0.0
USER_5cc314a6d7,25,0,25,0.0
USER_40fc16753c,25,0,25,0.0
USER_4eaae03f70,25,1,24,0.04
USER_e6d2066ee4,25,0,25,0.0
USER_6174f3fcdf,25,0,25,0.0
USER_3532568c2c,25,0,25,0.0
USER_8d3fea7eb5,25,0,25,0.0
USER_736f574f8c,25,0,25,0.0
USER_bc01f71da8,25,0,25,0.0
USER_d5f103307b,25,0,25,0.0
USER_33ddf0c538,25,0,25,0.0
USER_c883c32606,25,1,24,0.04
USER_cc0f7c6644,25,0,25,0.0
USER_df229428bb,25,0,25,0.0
USER_ca1ffdf440,25,0,25,0.0
USER_2e60f3735b,25,0,25,0.0
USER_ba030bc2f8,25,1,24,0.04
USER_1ee05cc3e5,25,1,24,0.04
USER_4aa61e9038,9,1,8,0.111
USER_eb0f488d3c,25,1,24,0.04
USER_4a417d6712,25,4,21,0.16
USER_cb33324bd5,14,0,14,0.0
USER_548c813ffc,25,0,25,0.0
USER_3e34504c95,25,0,25,0.0
USER_7d76febf4a,25,0,25,0.0
USER_f280c9e6cf,25,1,24,0.04
USER_12c3589b0d,25,0,25,0.0
USER_8deb2703d1,25,2,23,0.08
USER_196ad36d79,25,0,25,0.0
USER_39333b4d18,25,1,24,0.04
USER_0ded0631eb,20,1,19,0.05
USER_09501d9f1f,25,0,25,0.0
USER_0fa8797abe,25,0,25,0.0
USER_2a5ef0116d,25,0,25,0.0
USER_b85f2fcca7,25,1,24,0.04
USER_afe99ff0aa,25,1,24,0.04
USER_d400792014,25,4,21,0.16
USER_c89fcc6f24,25,0,25,0.0
USER_1b23f5433f,25,0,25,0.0
USER_faae028ca0,25,0,25,0.0
USER_11d42cdeeb,25,2,23,0.08
USER_ad8f26b61a,25,2,23,0.08
USER_6d3279c501,25,0,25,0.0
USER_0e50289258,25,1,24,0.04
USER_b0878e4aea,25,0,25,0.0
USER_594b9bb456,25,0,25,0.0
USER_e4603ac4b8,25,0,25,0.0
USER_8c494cf966,25,0,25,0.0
USER_0c374721cf,25,0,25,0.0
USER_10b448d2fc,25,0,25,0.0
USER_65fc93a3fc,25,0,25,0.0
USER_e2e441a94f,25,0,25,0.0
USER_587a92d554,25,0,25,0.0
USER_7e0788d3b7,25,0,25,0.0
USER_4aec5eb9cd,25,0,25,0.0
USER_85633914c5,25,2,23,0.08
USER_ed1695bfed,25,0,25,0.0
USER_8c3599b8e5,25,2,23,0.08
USER_5241a30db6,25,1,24,0.04
USER_bc50c7dd74,25,0,25,0.0
