usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_4fdcca6a1f,25,1,24,0.04
USER_011477103a,25,0,25,0.0
USER_f4d0059e31,25,0,25,0.0
USER_5adae5633a,25,1,24,0.04
USER_d9745dadea,25,0,25,0.0
USER_f8261ffa11,25,0,25,0.0
USER_f21c2868f2,25,0,25,0.0
USER_0a9dfa430a,25,2,23,0.08
USER_1015ee5a66,25,0,25,0.0
USER_2dfdb6181d,25,0,25,0.0
USER_07e41c02da,25,0,25,0.0
USER_56fc2ba40f,25,0,25,0.0
USER_401a2665e5,25,0,25,0.0
USER_25632cf3ea,25,3,22,0.12
USER_31feeb8bd7,25,0,25,0.0
USER_f5d4aa1de6,25,0,25,0.0
USER_44a40c71fc,25,2,23,0.08
USER_054e673b9a,25,1,24,0.04
USER_0bc590e8e7,25,0,25,0.0
USER_9abace8b79,25,1,24,0.04
USER_70f95a711a,25,0,25,0.0
USER_e0ddd34479,25,0,25,0.0
USER_d5413ab681,25,0,25,0.0
USER_b266ea5d13,25,0,25,0.0
USER_66d8df214f,25,0,25,0.0
USER_e538b2f5b2,25,0,25,0.0
USER_4ef7d3758b,25,0,25,0.0
USER_d0acff4ba3,18,0,18,0.0
USER_1d1bf47eb4,25,5,20,0.2
USER_a278783f3e,25,0,25,0.0
USER_745463dd04,25,0,25,0.0
USER_191b152a8d,25,0,25,0.0
USER_cc8c33c28e,25,0,25,0.0
USER_ca16a0263f,25,0,25,0.0
USER_47eead28ae,25,0,25,0.0
USER_44a984e559,25,0,25,0.0
USER_3ed36811f4,25,1,24,0.04
USER_649318253f,25,0,25,0.0
USER_318d56cdec,25,0,25,0.0
USER_751effc3d9,25,0,25,0.0
USER_09a84e6a44,25,0,25,0.0
USER_1138e8d58c,25,0,25,0.0
USER_9910132cfb,25,0,25,0.0
USER_04be2a1856,25,5,20,0.2
USER_64710a79d7,25,0,25,0.0
USER_13a6afc4c3,25,0,25,0.0
USER_dd06d4a78f,25,0,25,0.0
USER_8d8567181b,25,0,25,0.0
